barri;poblacion;densidad;poblacion_mas_65;titulados_sup;poblacion_sola;indice_sobreenv;renta_familiar;CODI_DIVISIO_TERRITORIAL;CODI_DIVISIO_TERRITORIAL_PARE;NOM_DIVISIO_TERRITORIAL
B-58;2.625,00;11.418,00;16.0;7.1;28,00;52.3;68.9;B-58;D-09;Baró de Viver
B-59;13.652,00;7.321,00;16.3;14.3;22.7;52.7;65.1;B-59;D-09;el Bon Pastor
B-60;58.508,00;31.331,00;22.3;26.8;23.1;47.4;77.7;B-60;D-09;Sant Andreu
B-61;29.521,00;29.931,00;24.4;26.0;22.3;47.7;77.1;B-61;D-09;la Sagrera
B-62;14.726,00;35.986,00;21.5;27.7;28.8;60.3;75.1;B-62;D-09;el Congrés i els Indians
B-63;22.457,00;52.986,00;23.7;28.0;26.2;53.3;81.6;B-63;D-09;Navas
B-64;39.262,00;53.011,00;23.0;32.8;26.1;50.6;81.7;B-64;D-10;el Camp de l'Arpa del Clot
B-65;27.069,00;38.848,00;20.6;29.4;23.1;46.8;83.6;B-65;D-10;el Clot
B-66;15.947,00;14.212,00;20.0;37.1;26.1;48.4;100.4;B-66;D-10;el Parc i la Llacuna del Poblenou
B-67;9.385,00;10.149,00;15.7;54.1;19.9;35.3;164.2;B-67;D-10;la Vila Olímpica del Poblenou
B-68;34.432,00;21.973,00;16.3;36.2;25.8;53,00;99.9;B-68;D-10;el Poblenou
B-69;13.526,00;11.244,00;15.6;41.8;21.3;51.5;150.1;B-69;D-10;Diagonal Mar i el Front Marítim del Poblenou
B-70;25.501,00;21.513,00;16.4;12.8;26.4;54.8;60.4;B-70;D-10;el Besòs i el Maresme
B-71;21.523,00;19.823,00;18.0;26.9;22.8;49.9;102.3;B-71;D-10;Provençals del Poblenou
B-72;26.168,00;35.652,00;25.4;21.0;24.9;57.6;67.4;B-72;D-10;Sant Martí de Provençals
B-73;28.878,00;25.619,00;26.4;15.1;21.8;55.1;57,00;B-73;D-10;la Verneda i la Pau
